Name,Age,Number of popes
Agatho,100.988,1
Formosus,86.267,1
Francis,76.235,1
Sabinian,74.204,1
Cornelius,70.678,1
Evaristus,69.399,1
Gelasius,69.118,2
Lucius,67.285,3
Donus,66.344,1
Callixtus,65.776,3
Hormisdas,64.052,1
Adrian,63.04,6
Anicetus,63.025,1
Zachary,62.426,1
John Paul,62.134,2
Honorius,61.998,4
Paul,61.722,6
Clement,61.632,14
Celestine,61.625,4
Hyginus,61.514,1
Nicholas,61.471,5
Hilary,61.388,1
Pius,60.867,12
Julius,59.637,3
Martin,59.342,3
Anastasius,59.157,4
Dionysius,59.058,1
Gregory,58.217,16
Telesphorus,57.758,1
Urban,57.753,8
Innocent,57.57,13
Sisinnius,57.541,1
Vitalian,57.081,1
Conon,56.309,1
Silverius,55.937,1
Boniface,55.832,8
Sixtus,55.501,5
Anterus,55.389,1
Pontian,55.14,1
Pelagius,55.1,2
Alexander,55.061,7
Leo,54.91,13
Severinus,54.908,1
Damasus,54.65,2
Benedict,53.864,15
Eusebius,53.799,1
Linus,53.506,1
Marcellus,53.415,2
Anacletus,50.505,1
Siricius,50.467,1
Eugene,48.816,4
Adeodatus,48.075,2
Lando,48.016,1
John,47.908,22
Marinus,47.398,2
Valentine,47.168,1
Romanus,47.124,1
Felix,47.083,3
Soter,46.806,1
Zosimus,46.716,1
Marcellinus,46.001,1
Mark,45.55,1
Paschal,45.347,2
Theodore,44.912,2
Sylvester,43.96,3
Eleutherius,43.811,1
Constantine,43.732,1
Stephen,43.705,9
Victor,43.53,3
Sergius,43.423,4
Agapetus,42.862,2
Liberius,41.881,1
Miltiades,41.002,1
Zephyrinus,39.075,1
Caius,38.464,1
Symmachus,38.396,1
Simplicius,37.676,1
Vigilius,36.745,1
Fabian,35.529,1
Eutychian,34.513,1
Peter,28.507,1
