name,age
Agatho,103.52908966461328
Formosus,90.7624914442163
Francis,87.86036960985626
Sabinian,75.64681724845995
John Paul,75.40999315537303
Evaristus,75.32375085557837
Pius,74.43121149897331
Anicetus,73.80150581793292
Hormisdas,73.09787816563997
Cornelius,72.98288843258042
Paul,72.91033538672143
Zachary,72.72553045859
Gelasius,71.9876796714579
Vitalian,71.57563312799452
Callixtus,70.44490075290896
Clement,70.01232032854209
Honorius,69.69062286105407
Julius,69.51311886835501
Lucius,69.23659593885466
Adrian,69.16586812685375
Telesphorus,68.51471594798083
Dionysius,68.49007529089664
Donus,67.78097193702943
Hilary,67.66598220396989
Martin,67.2498288843258
Gregory,66.89459274469542
Nicholas,66.89062286105408
Linus,66.50513347022587
Innocent,66.36381824882852
Celestine,65.91238877481177
Urban,65.84531143052703
Alexander,65.62706561063851
Hyginus,65.53045859000684
Siricius,65.4072553045859
Damasus,63.77960301163587
Peter,63.50444900752909
Anacletus,63.50444900752909
Sixtus,62.95195071868583
Leo,62.644342652556205
Pelagius,62.64202600958248
Boniface,61.17077344284736
Anastasius,61.049965776865164
Pontian,60.24366872005476
Benedict,59.239242527948896
Eleutherius,58.90485968514716
Paschal,58.08898015058179
Sisinnius,57.596167008898014
Zephyrinus,57.47022587268994
Conon,57.22655715263518
Silverius,56.69267624914442
Eugene,56.43737166324435
Liberius,56.23545516769336
Anterus,55.507186858316224
Eusebius,55.12936344969199
Severinus,55.08829568788501
Vigilius,54.93497604380561
Soter,54.81177275838467
Symmachus,54.04791238877481
Marcellinus,53.82067077344285
Marcellus,53.765913757700204
Felix,53.46566278804472
John,53.46176342480244
Simplicius,52.69267624914442
Sylvester,52.68446269678302
Adeodatus,51.66050650239562
Caius,50.81177275838467
Constantine,50.770704996577685
Sergius,50.10403832991102
Marinus,49.854893908281994
Fabian,49.55783709787816
Lando,48.59958932238193
Zosimus,48.49007529089665
Theodore,48.172484599589325
Victor,48.1222906684919
Agapetus,48.08350444900753
Romanus,47.34017796030116
Valentine,47.27720739219713
Stephen,46.56141151418359
Mark,46.26967830253251
Miltiades,43.52908966461328
Eutychian,43.436002737850785
